Algorithm,Scenario,Perc,Chunk,Accuracy,Precision,Recall,F1_Macro,Kappa,Time_s,Predictions_OK
OzaBoostADWIN,chunks_scenario_2,100,10,0.8162532637075718,0.7947191130002471,0.8015510970594528,0.7974948072549518,0.7142125351180719,9.687097072601318,True
OzaBoostADWIN,chunks_scenario_2,100,2,0.804630969609262,0.7964744643576761,0.8124051441808451,0.7945218474965827,0.7021218846295084,1.2871038913726809,True
OzaBoostADWIN,chunks_scenario_2,100,3,0.7979127134724858,0.788395625039629,0.7887852888767383,0.7858263691226611,0.689358728665223,1.969107151031494,True
OzaBoostADWIN,chunks_scenario_2,100,4,0.7934131736526946,0.7772941354831508,0.7864311964066966,0.7789364140689711,0.6817828774996635,2.913775682449341,True
OzaBoostADWIN,chunks_scenario_2,100,5,0.8126550868486352,0.784128528821275,0.8015641516835205,0.7887926132112179,0.7060958558419322,3.705456256866455,True
OzaBoostADWIN,chunks_scenario_2,100,6,0.8101472995090017,0.7948922441605369,0.8042600219010341,0.796873682392497,0.7095177117126635,4.64486575126648,True
OzaBoostADWIN,chunks_scenario_2,100,7,0.8196042337781868,0.8016736629684101,0.8088087831905751,0.8040872362116708,0.7224072877961221,6.284576892852783,True
OzaBoostADWIN,chunks_scenario_2,100,8,0.8220810166799047,0.8020097588571516,0.8098517369699461,0.8042555817381313,0.7245557553715296,7.396830797195435,True
OzaBoostADWIN,chunks_scenario_2,100,9,0.8193430656934306,0.797285193287984,0.803398524641452,0.7996978450553195,0.7184147767155615,8.875175952911377,True
SRP,chunks_scenario_2,100,1,0.8786127167630058,0.864648033126294,0.8775183150183151,0.8668407386621322,0.813845050215208,0.2350244522094726,True
SRP,chunks_scenario_2,100,10,0.8763054830287206,0.8651634831714013,0.8604390350842439,0.8622587975669077,0.8057474698372753,6.434187889099121,True
SRP,chunks_scenario_2,100,2,0.849493487698987,0.8350675096378074,0.8378265037143541,0.8363642373353127,0.7642350038712387,0.9008708000183104,True
SRP,chunks_scenario_2,100,3,0.8614800759013282,0.8528404060331095,0.8485959522183406,0.850468987091472,0.7849595796563746,1.4658136367797852,True
SRP,chunks_scenario_2,100,4,0.8645209580838323,0.8522027433986975,0.8506625153123725,0.8511903496910929,0.7879603096381358,2.1263105869293213,True
SRP,chunks_scenario_2,100,5,0.8753101736972705,0.8579776617081495,0.8564389027465044,0.8571161665003988,0.8000029628093358,2.7981903553009038,True
SRP,chunks_scenario_2,100,6,0.8614293507910529,0.8534027716049909,0.8463978618775374,0.8495663376024872,0.7844988710747979,3.472860813140869,True
SRP,chunks_scenario_2,100,7,0.8697653014265991,0.8622727654817188,0.853804520192086,0.8575029424616222,0.7970323155998161,4.309481859207153,True
SRP,chunks_scenario_2,100,8,0.8760921366163622,0.8648842983594703,0.8598253382682574,0.8621553029450272,0.8058410118403431,5.070060253143311,True
SRP,chunks_scenario_2,100,9,0.8740875912408759,0.8625468782542239,0.8559736633780156,0.8586052926044596,0.8017319562027506,5.70926833152771,True
SRP,chunks_scenario_2,100,1,0.8786127167630058,0.864648033126294,0.8775183150183151,0.8668407386621322,0.813845050215208,0.703174352645874,True
SRP,chunks_scenario_2,100,10,0.8763054830287206,0.8651634831714013,0.8604390350842439,0.8622587975669077,0.8057474698372753,5.8551788330078125,True
SRP,chunks_scenario_2,100,2,0.849493487698987,0.8350675096378074,0.8378265037143541,0.8363642373353127,0.7642350038712387,1.241804838180542,True
SRP,chunks_scenario_2,100,3,0.8614800759013282,0.8528404060331095,0.8485959522183406,0.850468987091472,0.7849595796563746,1.9148099422454836,True
SRP,chunks_scenario_2,100,4,0.8645209580838323,0.8522027433986975,0.8506625153123725,0.8511903496910929,0.7879603096381358,2.446241617202759,True
SRP,chunks_scenario_2,100,5,0.8753101736972705,0.8579776617081495,0.8564389027465044,0.8571161665003988,0.8000029628093358,2.950834989547729,True
SRP,chunks_scenario_2,100,6,0.8614293507910529,0.8534027716049909,0.8463978618775374,0.8495663376024872,0.7844988710747979,3.564536571502685,True
SRP,chunks_scenario_2,100,7,0.8697653014265991,0.8622727654817188,0.853804520192086,0.8575029424616222,0.7970323155998161,4.054257392883301,True
SRP,chunks_scenario_2,100,8,0.8760921366163622,0.8648842983594703,0.8598253382682574,0.8621553029450272,0.8058410118403431,4.758654356002808,True
SRP,chunks_scenario_2,100,9,0.8740875912408759,0.8625468782542239,0.8559736633780156,0.8586052926044596,0.8017319562027506,5.25015115737915,True
OSNN,chunks_scenario_2,25,1,0.6781609195402298,0.4776576576576576,0.6333333333333333,0.5217339737887683,0.5067827495444421,25.997596979141235,True
OSNN,chunks_scenario_2,25,10,0.5155844155844156,0.3437337746625129,0.4285375302413635,0.3633291222965198,0.1508340577010637,337.42230677604675,True
OSNN,chunks_scenario_2,25,2,0.5862068965517241,0.3669609079445146,0.5222013758599124,0.4307261366084895,0.3133084849813637,71.33019351959229,True
OSNN,chunks_scenario_2,25,3,0.5169811320754717,0.3273691690777118,0.4439853076216712,0.3714646464646465,0.1883225652069874,115.60112118721008,True
OSNN,chunks_scenario_2,25,4,0.5267857142857143,0.3345959595959595,0.4411272987819441,0.3726457188483397,0.1810154525386313,139.83442735671997,True
OSNN,chunks_scenario_2,25,5,0.5308641975308642,0.3291340052258305,0.4410647186010874,0.3708663014810305,0.162603926348322,171.97701835632324,True
OSNN,chunks_scenario_2,25,6,0.4663774403470715,0.3023125996810207,0.4075934430412042,0.3292756920743269,0.1086676307847082,194.7247543334961,True
OSNN,chunks_scenario_2,25,7,0.467032967032967,0.3023391812865497,0.4015206611570248,0.3272339574865063,0.0998674326115774,216.56912064552307,True
OSNN,chunks_scenario_2,25,8,0.4834123222748815,0.3171792834714182,0.4096729708431836,0.3386455798864558,0.1113901553202998,266.82321858406067,True
